	AC010789.1	MIS18A-AS1	LINC00659	LINC02575	LINC00486	MIR205HG	LINC01436	MIR4280HG	LINC01115	LINC02428	AC226118.1	PURPL	MIR3142HG	LINC01300	PKIA-AS1	LINC02688	AC016705.1	AL035425.3	NFE2L1-DT	LINC02675	LINC00668	FENDRR	AC132192.2	AC010359.2	AC099343.2	AL353708.3	AP001412.1	AL355512.1	PICSAR	AC092117.1	AL139123.1	AC087239.1	AC207130.1	AL358777.3	AC211476.6	AC133530.1	AL513128.3	AC053545.1	state
tm43	0	3	43	6	1	11	25	33	286	0	6	1	64	10	3	240	1	2	21	1	0	551	25	9	8	9	0	8	1	25	6	6	1	8	1	110	10	2	1
tm44	0	7	40	38	0	1	10	70	0	20	66	33	76	1	3	993	9	3	9	0	10	381	18	13	9	6	3	7	8	43	9	6	18	8	1	2	2	1	1
tm45	0	0	57	10	17	0	20	11	3	1	0	1	60	2	3	299	3	6	17	0	0	92	36	20	26	16	7	4	2	44	8	16	0	16	4	36	13	0	1
tm46	0	14	7	0	0	781	33	38	0	200	18	1	19	0	0	50	0	0	39	0	6	22	33	12	7	16	3	13	33	174	8	7	119	15	2	3	12	3	1
tm47	0	25	80	116	2	1	143	8	1	14	44	7	403	4	5	138	29	3	49	2	4	316	45	8	60	22	11	8	23	143	23	9	10	32	6	1	24	84	1
tm48	11	5	7	7	1	6	70	13	11	0	3	0	237	1	4	16	1	1	9	0	32	85	35	14	30	19	3	4	19	110	23	35	0	18	3	8	27	0	1
tm49	0	6	17	71	1	41	669	10	0	12	6	8	20	4	0	781	1	0	29	1	2	250	29	12	8	8	3	2	88	58	11	7	3	7	3	40	5	17	1
tm50	4	1	5	16	0	3	53	3	39	14	25	5	74	1	0	480	0	5	29	0	5	326	27	10	11	7	5	4	60	39	4	7	0	8	4	22	12	7	1
tm51	0	5	6	2	0	134	11	21	1	0	7	2	48	1	0	84	0	1	14	0	0	42	17	6	11	8	1	4	3	36	4	7	1	5	2	18	9	7	1
tm52	16	12	32	67	1	72	76	18	23	0	23	11	82	16	1	59	0	5	35	22	102	115	28	19	26	20	9	8	61	92	16	11	0	24	4	3	11	21	1
tm53	0	6	52	20	2	39	50	17	0	1	1	8	136	10	4	317	1	6	29	12	47	143	24	16	22	12	11	2	0	34	12	10	1	16	5	4	9	9	1
tm54	0	8	37	13	1	26	335	14	1	38	43	1	31	5	5	64	0	0	9	1	0	344	17	9	15	12	1	12	1	84	5	4	0	4	3	14	9	6	1
tm55	0	1	2	0	0	2	13	6	146	1	2	2	11	1	3	285	2	2	16	2	11	90	19	6	17	24	4	3	29	75	2	20	1	14	5	9	21	4	1
tm56	0	7	59	4	240	26	9	2	2	0	35	3	23	26	7	78	1	3	22	1	8	152	17	7	23	13	1	1	2	85	6	9	4	3	4	130	5	9	1
tm57	0	1	16	1	3	1	15	7	14	2	5	7	22	5	1	165	0	8	12	20	1	71	28	8	8	5	2	4	3	42	6	15	2	7	2	2	8	6	1
tm58	1	5	63	13	0	9	91	12	6	35	11	4	65	47	2	4347	1	3	17	4	66	139	28	4	18	10	2	4	31	32	15	10	7	29	6	35	12	4	1
tm59	49	6	52	8	531	1165	23	15	0	1	10	2	41	15	3	5	2	1	21	6	308	48	35	11	10	16	1	6	263	9	4	17	7	16	6	0	3	9	1
tm60	0	4	282	2	2	31	2	22	0	4	7	2	11	6	2	48	5	4	9	0	1	137	90	14	30	37	4	15	3	113	10	34	1	6	4	593	18	4	1
tm61	0	7	9	5	1	163	29	17	20	0	0	1	68	24	7	491	1	7	16	2	0	118	11	18	16	7	2	2	1	54	5	10	2	4	5	4	7	3	1
tm62	0	8	15	9	1	1	129	1	2	1	19	2	65	7	1	37	0	0	18	0	0	3671	22	8	14	7	2	0	0	9	1	13	1	25	2	1	7	5	1
tm63	0	10	39	5	0	0	7	29	4	0	43	70	55	5	2	227	2	1	48	2	0	153	77	16	30	17	13	3	1	128	9	29	9	37	13	14	32	21	1
tm64	2	3	2	6	2	14	7	13	1	0	0	0	85	0	4	67	2	1	13	3	3	162	25	8	11	15	5	7	20	63	8	12	0	6	4	3	12	2	1
tm65	0	4	59	14	3	7	5	31	0	0	18	5	25	20	2	15	2	0	16	1	0	98	20	3	8	4	3	0	1	13	4	14	0	16	3	1	7	1	1
tm66	38	4	22	3	38	5	19	9	4	4	34	14	18	4	4	1282	4	0	25	0	2	148	21	12	15	17	4	1	33	31	6	13	1	12	1	5	3	3	1
tm67	1	5	11	10	0	2762	86	15	0	15	16	13	20	7	7	60	1	6	41	0	58	288	47	19	12	14	4	10	28	88	9	20	0	8	6	30	8	71	1
tm68	0	11	16	12	5	3	28	9	0	0	9	6	82	5	0	286	0	1	21	3	1	185	27	16	12	9	1	3	0	76	4	12	0	27	7	1	3	10	1
tm69	2	12	3	20	2	34	49	4	36	3	14	8	69	8	9	65	1	8	41	5	12	250	20	9	9	10	1	8	0	217	10	3	0	15	2	0	26	4	1
tm70	0	1	75	0	1	20	357	33	0	1	11	4	5	1	0	11	0	0	21	0	3	236	21	3	8	3	2	6	265	44	1	3	0	12	1	0	1	4	1
tm71	0	12	30	5	1	2	73	17	1	27	10	1	80	12	4	66	0	1	24	1	1	180	28	15	16	9	3	8	1	155	8	8	0	8	8	62	20	20	1
tm72	0	9	14	18	2	3	63	5	2	3	14	1	81	3	2	517	0	3	24	9	7	189	31	11	20	9	5	5	8	75	8	4	1	9	6	72	12	3	1
tm73	7	4	27	75	0	93	216	4	28	2	16	5	55	11	4	960	1	1	26	3	163	7781	43	15	27	9	8	3	36	76	12	6	1	19	7	16	23	4	1
tm74	0	4	1	11	2	34	9	8	13	0	15	5	18	17	0	135	1	4	7	2	1	154	8	7	6	6	0	2	2	39	1	0	0	4	1	1	4	8	1
tm75	0	5	32	7	2	195	19	44	26	0	18	4	59	11	1	1642	0	9	28	7	14	1272	40	26	19	8	6	0	5	63	8	7	1	9	4	2	12	1	1
tm76	0	4	16	2	2	5	2	19	12	2	5	2	64	10	9	306	1	141	39	42	10	88	61	9	30	15	4	2	4	87	15	11	0	17	12	5	11	13	1
tm77	1	11	3	17	19	13	4	5	8	3	46	1	90	2	2	87	1	2	18	0	1	62	43	14	9	6	1	4	23	17	4	11	0	10	3	46	12	11	1
tm78	73	8	4	6	0	2	53	8	0	0	25	2	70	0	3	631	0	24	44	2	46	159	36	23	19	7	4	3	0	22	9	11	0	8	1	122	11	2	1
